Years,Rainfall Total
1869,45.25
1870,39.25
1871,51.26
1872,42.49
1873,47.99
1874,45.83
1875,40.9
1876,41.77
1877,40.17
1878,48.66
1879,39.01
1880,36.66
1881,36.26
1882,45.27
1883,35.77
1884,52.25
1885,35.37
1886,39.38
1887,43.99
1888,53.32
1889,57.16
1890,45.63
1891,39.55
1892,35.6
1893,48.26
1894,41.01
1895,35.37
1896,41.96
1897,44.55
1898,47.9
1899,38.57
1900,41.19
1901,48.69
1902,52.77
1903,58.32
1904,41.64
1905,37.44
1906,40.18
1907,45.48
1908,41.05
1909,41.67
1910,33.72
1911,48.83
1912,45.4
1913,58
1914,40.17
1915,45.73
1916,37.9
1917,41.04
1918,38.27
1919,53.29
1920,53.2
1921,37.76
1922,44.66
1923,40.57
1924,41.72
1925,41.43
1926,47.83
1927,56.06
1928,45.62
1929,40.38
1930,38.95
1931,36.07
1932,43.93
1933,53.53
1934,49.84
1935,33.85
1936,49.83
1937,52.97
1938,48.49
1939,38.55
1940,45.07
1941,39.04
1942,48.51
1943,36.74
1944,45.01
1945,44.98
1946,38.36
1947,40.79
1948,46.87
1949,36.24
1950,36.89
1951,44.4
1952,41.51
1953,45.2
1954,35.58
1955,39.9
1956,36.25
1957,36.49
1958,40.94
1959,38.77
1960,46.39
1961,39.32
1962,37.15
1963,34.28
1964,32.99
1965,26.09
1966,39.9
1967,49.12
1968,43.57
1969,48.54
1970,35.29
1971,56.77
1972,67.03
1973,57.23
1974,47.69
1975,61.21
1976,41.28
1977,54.73
1978,49.81
1979,52.13
1980,44.55
1981,38.11
1982,41.4
1983,80.56
1984,57.03
1985,38.82
1986,42.95
1987,46.39
1988,44.67
1989,65.11
1990,60.92
1991,45.18
1992,43.35
1993,44.28
1994,47.39
1995,40.42
1996,56.19
1997,43.93
1998,48.69
1999,42.5
2000,45.42
2001,35.92
2002,45.21
2003,58.56
2004,51.97
2005,55.97
2006,59.89
2007,61.67
2008,53.61
2009,53.62
2010,49.37
2011,72.81
2012,38.51
2013,46.32
2014,53.79
2015,40.97
2016,42.17
2017,45.04
2018,65.55
2019,53.03
2020,45.35
2021,59.73
2022,46.3
2023,59.29
2024,46.37